ID1,ID2,Distance
11108_2003,11122_2004,0.371192
11381_2010,11405_2011,0.584842
11165_2005,11178_2005,0.304844
11088_2003,11098_2003,0.247086
11249_2007,11260_2007,0.265842
11088_2003,11099_2003,0.247086
11165_2005,11179_2005,0.30737
11183_2005,11205_2006,0.53136
11088_2003,11100_2003,0.244688
11442_2012,11454_2012,0.325307
11279_2007,11298_2008,0.516326
11442_2012,11455_2012,0.359606
11165_2005,11180_2005,0.317445
11200_2006,11213_2006,0.277902
11442_2012,11456_2012,0.376087
11183_2005,11206_2006,0.54565
11381_2010,11406_2011,0.610817
11442_2012,11457_2012,0.421551
11279_2007,11299_2008,0.546752
11200_2006,11214_2006,0.30273
11249_2007,11261_2007,0.295121
11200_2006,11215_2006,0.3383
11279_2007,11300_2008,0.582112
11249_2007,11262_2007,0.295121
11279_2007,11301_2008,0.600565
11165_2005,11181_2005,0.327707
11442_2012,11458_2012,0.473363
11200_2006,11216_2006,0.367683
11183_2005,11207_2006,0.581996
11165_2005,11182_2005,0.378662
11200_2006,11217_2006,0.401755
11183_2005,11208_2006,0.58955
11279_2007,11302_2008,0.628727
11183_2005,11209_2006,0.608375
11442_2012,11459_2012,0.482906
11183_2005,11210_2006,0.622949
11200_2006,11218_2006,0.442891
11183_2005,11211_2006,0.674979
11249_2007,11263_2007,0.322977
11183_2005,11212_2006,0.695556
11200_2006,11219_2006,0.445714
11183_2005,11213_2006,0.722397
11165_2005,11183_2005,0.409783
11249_2007,11264_2007,0.320389
11165_2005,11184_2005,0.455068
11442_2012,11460_2012,0.495573
11183_2005,11214_2006,0.745156
11442_2012,11461_2012,0.549225
11165_2005,11185_2005,0.45812
11200_2006,11220_2006,0.479509
11183_2005,11215_2006,0.785158
11165_2005,11186_2005,0.505974
11088_2003,11101_2003,0.285102
11165_2005,11187_2005,0.506104
11442_2012,11462_2012,0.55632
11381_2010,11407_2011,0.614686
11200_2006,11221_2006,0.517796
11279_2007,11303_2008,0.632308
11442_2012,11463_2012,0.596125
11183_2005,11216_2006,0.803902
11442_2012,11464_2012,0.596125
11381_2010,11408_2011,0.625989
11279_2007,11304_2008,0.632308
11442_2012,11465_2012,0.638174
11279_2007,11305_2008,0.68745
11165_2005,11188_2005,0.51639
11088_2003,11102_2003,0.29257
11165_2005,11189_2005,0.556464
11279_2007,11306_2008,0.675157
11183_2005,11217_2006,0.850976
11279_2007,11307_2008,0.670825
11249_2007,11265_2007,0.354576
11279_2007,11308_2008,0.704156
11381_2010,11409_2011,0.629781
11200_2006,11222_2006,0.517809
11433_2011,11443_2012,0.224729
11320_2009,11329_2009,0.191136
11147_2004,11157_2004,0.234473
11307_2008,11316_2008,0.176128
11128_2004,11138_2004,0.240096
11108_2003,11123_2004,0.425527
11433_2011,11444_2012,0.270966
11000_2001,11012_2001,0.242257
11370_2010,11389_2010,0.443911
11023_2001,11041_2002,0.492709
11370_2010,11390_2010,0.478406
11045_2002,11069_2002,0.549506
11413_2011,11434_2011,0.626446
11067_2002,11085_2003,0.479772
11000_2001,11013_2001,0.290042
11067_2002,11086_2003,0.512856
11392_2010,11411_2011,0.398374
11045_2002,11070_2002,0.556712
11023_2001,11042_2002,0.508945
11000_2001,11014_2001,0.292444
11023_2001,11043_2002,0.532592
11413_2011,11435_2011,0.630477
11370_2010,11391_2010,0.505064
11423_2011,11442_2012,0.399126
11392_2010,11412_2011,0.398374
11023_2001,11044_2002,0.532592
11067_2002,11087_2003,0.560262
11023_2001,11045_2002,0.589836
11000_2001,11015_2001,0.315045
11023_2001,11046_2002,0.609229
11392_2010,11413_2011,0.421758
11000_2001,11016_2001,0.37082
11067_2002,11088_2003,0.567573
11000_2001,11017_2001,0.373682
11067_2002,11089_2003,0.592746
11370_2010,11392_2010,0.522024
11423_2011,11443_2012,0.430517
11045_2002,11071_2002,0.567142
11023_2001,11047_2002,0.617827
11413_2011,11436_2011,0.682188
11423_2011,11444_2012,0.46054
11370_2010,11393_2010,0.546726
11067_2002,11090_2003,0.60371
11045_2002,11072_2002,0.585253
11067_2002,11091_2003,0.642346
11000_2001,11018_2001,0.421744
11045_2002,11073_2002,0.645867
11067_2002,11092_2003,0.703869
11423_2011,11445_2012,0.485807
11067_2002,11093_2003,0.725747
11370_2010,11394_2010,0.55345
11023_2001,11048_2002,0.626519
11423_2011,11446_2012,0.521574
11413_2011,11437_2011,0.706768
11067_2002,11094_2003,0.726116
11045_2002,11074_2002,0.678009
11165_2005,11190_2005,0.58176
11200_2006,11223_2006,0.544961
11183_2005,11218_2006,0.898707
11442_2012,11466_2012,0.677346
11249_2007,11266_2007,0.39608
11392_2010,11414_2011,0.461187
11045_2002,11075_2002,0.716223
11249_2007,11267_2007,0.448811
11442_2012,11467_2012,0.681488
11381_2010,11410_2011,0.629781
11088_2003,11103_2003,0.305036
11165_2005,11191_2005,0.600539
11183_2005,11219_2006,0.897472
11442_2012,11468_2012,0.681488
11200_2006,11224_2006,0.555451
11442_2012,11469_2012,0.685642
11200_2006,11225_2006,0.584282
11279_2007,11309_2008,0.704167
11165_2005,11192_2005,0.61266
11381_2010,11411_2011,0.653493
11442_2012,11470_2012,0.724031
11279_2007,11310_2008,0.785986
11088_2003,11104_2003,0.325437
11200_2006,11226_2006,0.613961
11183_2005,11220_2006,0.926873
11381_2010,11412_2011,0.653493
11165_2005,11193_2005,0.648041
11200_2006,11227_2006,0.640922
11442_2012,11471_2012,0.793206
11249_2007,11268_2007,0.451856
11183_2005,11221_2006,0.947657
11381_2010,11413_2011,0.674297
11442_2012,11472_2012,0.8226
11200_2006,11228_2006,0.710752
11249_2007,11269_2007,0.505612
11381_2010,11414_2011,0.712593
11200_2006,11229_2006,0.710729
11442_2012,11473_2012,0.822737
11279_2007,11311_2008,0.786087
11183_2005,11222_2006,0.94127
11381_2010,11415_2011,0.743206
11249_2007,11270_2007,0.519093
11088_2003,11105_2003,0.352249
11200_2006,11230_2006,0.724038
11183_2005,11223_2006,0.989994
11249_2007,11271_2007,0.519093
11200_2006,11231_2006,0.733076
11442_2012,11474_2012,0.817633
11165_2005,11194_2005,0.652371
11200_2006,11232_2006,0.75069
11249_2007,11272_2007,0.544834
11088_2003,11106_2003,0.357803
11279_2007,11312_2008,0.790787
11088_2003,11107_2003,0.38777
11381_2010,11416_2011,0.760745
11442_2012,11475_2012,0.863974
11279_2007,11313_2008,0.795211
